timestamp,solar_irradiance,solar_irradiance_forecast
2025-02-25 21:20:00+07:00,0.013,0.0
2025-02-25 21:30:00+07:00,0.012,0.0
2025-02-25 21:40:00+07:00,0.011,0.0
2025-02-25 21:50:00+07:00,0.007,0.0
2025-02-25 22:00:00+07:00,0.01,0.0
2025-02-25 22:10:00+07:00,0.012,0.0
2025-02-25 22:20:00+07:00,0.015,0.0
2025-02-25 22:30:00+07:00,0.011,0.0
2025-02-25 22:40:00+07:00,0.017,0.0
2025-02-25 22:50:00+07:00,0.015,0.0
2025-02-25 23:00:00+07:00,0.011,0.0
2025-02-25 23:10:00+07:00,0.01,0.0
2025-02-25 23:20:00+07:00,0.015,0.0
2025-02-25 23:30:00+07:00,0.013,0.0
2025-02-25 23:40:00+07:00,0.009,0.0
2025-02-25 23:50:00+07:00,0.01,0.0
2025-02-26 00:00:00+07:00,0.009,0.0
2025-02-26 00:10:00+07:00,0.014,0.0
2025-02-26 00:20:00+07:00,0.015,0.0
2025-02-26 00:30:00+07:00,0.015,0.0
2025-02-26 00:40:00+07:00,0.015,0.0
2025-02-26 00:50:00+07:00,0.016,0.0
2025-02-26 01:00:00+07:00,0.01,0.0
2025-02-26 01:10:00+07:00,0.006,0.0
2025-02-26 01:20:00+07:00,0.005,0.0
2025-02-26 01:30:00+07:00,0.006,0.0
2025-02-26 01:40:00+07:00,0.005,0.0
2025-02-26 01:50:00+07:00,0.007,0.0
2025-02-26 02:00:00+07:00,0.011,0.0
2025-02-26 02:10:00+07:00,0.013,0.0
2025-02-26 02:20:00+07:00,0.007,0.0
2025-02-26 02:30:00+07:00,0.007,0.0
2025-02-26 02:40:00+07:00,0.011,0.0
2025-02-26 02:50:00+07:00,0.01,0.0
2025-02-26 03:00:00+07:00,0.01,0.0
2025-02-26 03:10:00+07:00,0.005,0.0
2025-02-26 03:20:00+07:00,0.008,0.0
2025-02-26 03:30:00+07:00,0.005,0.0
2025-02-26 03:40:00+07:00,0.006,0.0
2025-02-26 03:50:00+07:00,0.006,0.0
2025-02-26 04:00:00+07:00,0.006,0.0
2025-02-26 04:10:00+07:00,0.007,0.0
2025-02-26 04:20:00+07:00,0.007,0.0
2025-02-26 04:30:00+07:00,0.005,0.0
2025-02-26 04:40:00+07:00,0.005,0.0
2025-02-26 04:50:00+07:00,0.003,0.0
2025-02-26 05:00:00+07:00,0.008,0.0
2025-02-26 05:10:00+07:00,0.006,0.0
2025-02-26 05:20:00+07:00,0.004,0.0
2025-02-26 05:30:00+07:00,0.011,0.0
2025-02-26 05:40:00+07:00,0.005,0.0
2025-02-26 05:50:00+07:00,0.004,0.0
2025-02-26 06:00:00+07:00,0.005,0.0
2025-02-26 06:10:00+07:00,0.006,0.0
2025-02-26 06:20:00+07:00,0.027,0.0
2025-02-26 06:30:00+07:00,0.523,0.0
2025-02-26 06:40:00+07:00,2.632,0.0
2025-02-26 06:50:00+07:00,9.62,0.0
2025-02-26 07:00:00+07:00,14.907,79.0
2025-02-26 07:10:00+07:00,33.147,79.0
2025-02-26 07:20:00+07:00,44.526,79.0
2025-02-26 07:30:00+07:00,62.087,79.0
2025-02-26 07:40:00+07:00,59.019,79.0
2025-02-26 07:50:00+07:00,73.87,79.0
2025-02-26 08:00:00+07:00,78.074,291.0
2025-02-26 08:10:00+07:00,118.351,291.0
2025-02-26 08:20:00+07:00,178.093,291.0
2025-02-26 08:30:00+07:00,327.066,291.0
2025-02-26 08:40:00+07:00,216.206,291.0
2025-02-26 08:50:00+07:00,141.888,291.0
2025-02-26 09:00:00+07:00,415.47,489.0
2025-02-26 09:10:00+07:00,368.691,489.0
2025-02-26 09:20:00+07:00,476.195,489.0
2025-02-26 09:30:00+07:00,526.958,489.0
2025-02-26 09:40:00+07:00,571.15,489.0
2025-02-26 09:50:00+07:00,587.075,489.0
2025-02-26 10:00:00+07:00,628.542,669.0
2025-02-26 10:10:00+07:00,685.552,669.0
2025-02-26 10:20:00+07:00,606.206,669.0
2025-02-26 10:30:00+07:00,365.916,669.0
2025-02-26 10:40:00+07:00,497.793,669.0
2025-02-26 10:50:00+07:00,591.322,669.0
2025-02-26 11:00:00+07:00,491.502,807.0
2025-02-26 11:10:00+07:00,411.235,807.0
2025-02-26 11:20:00+07:00,328.133,807.0
2025-02-26 11:30:00+07:00,472.417,807.0
2025-02-26 11:40:00+07:00,601.437,807.0
2025-02-26 11:50:00+07:00,426.927,807.0
2025-02-26 12:00:00+07:00,888.008,854.0
2025-02-26 12:10:00+07:00,851.146,854.0
2025-02-26 12:20:00+07:00,867.181,854.0
2025-02-26 12:30:00+07:00,742.135,854.0
2025-02-26 12:40:00+07:00,791.565,854.0
2025-02-26 12:50:00+07:00,791.163,854.0
2025-02-26 13:00:00+07:00,782.866,832.0
2025-02-26 13:10:00+07:00,773.597,832.0
2025-02-26 13:20:00+07:00,766.97,832.0
2025-02-26 13:30:00+07:00,754.804,832.0
2025-02-26 13:40:00+07:00,739.773,832.0
2025-02-26 13:50:00+07:00,724.169,832.0
2025-02-26 14:00:00+07:00,706.948,735.0
2025-02-26 14:10:00+07:00,684.114,735.0
2025-02-26 14:20:00+07:00,656.688,735.0
2025-02-26 14:30:00+07:00,643.31,735.0
2025-02-26 14:40:00+07:00,619.476,735.0
2025-02-26 14:50:00+07:00,599.336,735.0
2025-02-26 15:00:00+07:00,560.771,425.0
2025-02-26 15:10:00+07:00,523.293,425.0
2025-02-26 15:20:00+07:00,507.992,425.0
2025-02-26 15:30:00+07:00,450.5,425.0
2025-02-26 15:40:00+07:00,418.081,425.0
2025-02-26 15:50:00+07:00,299.318,425.0
2025-02-26 16:00:00+07:00,225.89,48.0
2025-02-26 16:10:00+07:00,324.371,48.0
2025-02-26 16:20:00+07:00,289.474,48.0
2025-02-26 16:30:00+07:00,253.527,48.0
2025-02-26 16:40:00+07:00,219.241,48.0
2025-02-26 16:50:00+07:00,183.812,48.0
2025-02-26 17:00:00+07:00,149.917,58.0
2025-02-26 17:10:00+07:00,118.912,58.0
2025-02-26 17:20:00+07:00,89.171,58.0
2025-02-26 17:30:00+07:00,65.579,58.0
2025-02-26 17:40:00+07:00,45.139,58.0
2025-02-26 17:50:00+07:00,31.312,58.0
2025-02-26 18:00:00+07:00,22.402,5.0
2025-02-26 18:10:00+07:00,13.282,5.0
2025-02-26 18:20:00+07:00,6.165,5.0
2025-02-26 18:30:00+07:00,1.931,5.0
2025-02-26 18:40:00+07:00,0.296,5.0
2025-02-26 18:50:00+07:00,0.043,5.0
2025-02-26 19:00:00+07:00,0.025,0.0
2025-02-26 19:10:00+07:00,0.02,0.0
2025-02-26 19:20:00+07:00,0.021,0.0
2025-02-26 19:30:00+07:00,0.019,0.0
2025-02-26 19:40:00+07:00,0.021,0.0
2025-02-26 19:50:00+07:00,0.018,0.0
2025-02-26 20:00:00+07:00,0.012,0.0
2025-02-26 20:10:00+07:00,0.012,0.0
2025-02-26 20:20:00+07:00,0.013,0.0
2025-02-26 20:30:00+07:00,0.021,0.0
2025-02-26 20:40:00+07:00,0.024,0.0
2025-02-26 20:50:00+07:00,0.016,0.0
2025-02-26 21:00:00+07:00,0.019,0.0
2025-02-26 21:10:00+07:00,0.015,0.0
2025-02-26 21:20:00+07:00,0.011,0.0
2025-02-26 21:30:00+07:00,0.013,0.0
2025-02-26 21:40:00+07:00,0.014,0.0
2025-02-26 21:50:00+07:00,0.012,0.0
2025-02-26 22:00:00+07:00,0.011,0.0
2025-02-26 22:10:00+07:00,0.01,0.0
2025-02-26 22:20:00+07:00,0.009,0.0
2025-02-26 22:30:00+07:00,0.008,0.0
2025-02-26 22:40:00+07:00,0.007,0.0
2025-02-26 22:50:00+07:00,0.01,0.0
2025-02-26 23:00:00+07:00,0.012,0.0
2025-02-26 23:10:00+07:00,0.007,0.0
2025-02-26 23:20:00+07:00,0.012,0.0
2025-02-26 23:30:00+07:00,0.011,0.0
2025-02-26 23:40:00+07:00,0.009,0.0
2025-02-26 23:50:00+07:00,0.007,0.0
2025-02-27 00:00:00+07:00,0.012,0.0
2025-02-27 00:10:00+07:00,0.01,0.0
2025-02-27 00:20:00+07:00,0.008,0.0
2025-02-27 00:30:00+07:00,0.007,0.0
2025-02-27 00:40:00+07:00,0.013,0.0
2025-02-27 00:50:00+07:00,0.017,0.0
2025-02-27 01:00:00+07:00,0.014,0.0
2025-02-27 01:10:00+07:00,0.009,0.0
